city_code,census_year,total_population,population_under_15,population_15_to_64,population_over_65,male_total_population,male_population_under_15,male_population_15_to_64,male_population_over_65,female_total_population,female_population_under_15,female_population_15_to_64,female_population_over_65
01000,2020,5224614,555804,2945727,1664023,2465088,284510,1451491,696197,2759526,271294,1494236,967826
01000,2010,5506419,657312,3482169,1358068,2603345,335353,1695591,567141,2903074,321959,1786578,790927
01000,2015,5381733,608296,3190804,1558387,2537089,310387,1561879,651286,2844644,297909,1628925,907101
01100,2020,1973395,215366,1185724,541242,918682,110196,566874,224966,1054713,105170,618850,316276
01100,2010,1913545,224212,1292313,391796,896850,113929,617208,162719,1016695,110283,675105,229077
01100,2015,1952356,221013,1235516,483534,910614,112743,590111,201313,1041742,108270,645405,282221
01101,2020,248680,23868,157719,57544,112853,12160,72743,22518,135827,11708,84976,35026
01101,2010,220189,22250,156677,41250,99791,11265,72576,15938,120398,10985,84101,25312
01101,2015,237627,23997,160339,50536,107756,12187,74227,19750,129871,11810,86112,30786
01102,2020,289323,33524,174146,77275,136596,17127,85175,32583,152727,16397,88971,44692
01102,2010,278781,34185,187505,55946,132481,17490,90807,23509,146300,16695,96698,32437
01102,2015,285321,32916,178950,68960,134534,16722,86767,28866,150787,16194,92183,40094
01103,2020,265379,29912,160813,68282,126023,15190,78640,28476,139356,14722,82173,39806
01103,2010,255873,31210,174326,49369,122154,15903,85113,20563,133719,15307,89213,28806
01103,2015,261912,30716,168302,61448,124649,15594,82491,25708,137263,15122,85811,35740
01104,2020,211835,22500,135635,53160,100062,11604,66174,22060,111773,10896,69461,31100
01104,2010,204259,23698,140875,38818,96974,11961,68450,16046,107285,11737,72425,22772
01104,2015,209584,23590,136879,47879,99020,12099,66499,19954,110564,11491,70380,27925
01105,2020,225298,23432,142582,57056,104154,12015,67628,23168,121144,11417,74954,33888
01105,2010,212118,23513,145007,42734,98960,11929,69048,17502,113158,11584,75959,25232
01105,2015,218652,23865,142751,51458,101482,12214,67849,21014,117170,11651,74902,30444
01106,2020,135777,13291,72469,47992,62347,6789,34547,20219,73430,6502,37922,27773
01106,2010,146341,15622,92635,37555,68072,7878,44026,15871,78269,7744,48609,21684
01106,2015,141190,14271,81598,44854,65305,7317,38809,18943,75885,6954,42789,25911
01107,2020,217040,24626,129043,59960,100027,12581,60644,24782,117013,12045,68399,35178
01107,2010,211229,24804,140434,45299,98090,12657,66249,18832,113139,12147,74185,26467
01107,2015,213578,24842,133411,54865,98648,12630,62921,22823,114930,12212,70490,32042
01108,2020,125083,12724,71427,40922,56755,6519,33162,17068,68328,6205,38265,23854
01108,2010,128492,15364,84942,28185,59035,7742,39367,11925,69457,7622,45575,16260
01108,2015,127767,13990,77888,35713,58312,7178,36054,15008,69455,6812,41834,20705
01109,2020,142625,17217,78885,44986,66913,8795,38010,19135,75712,8422,40875,25851
01109,2010,139644,17447,92107,30087,65899,8930,44216,12750,73745,8517,47891,17337
01109,2015,140999,17367,84637,38561,66284,8889,40662,16474,74715,8478,43975,22087
01110,2020,112355,14272,63005,34065,52952,7416,30151,14957,59403,6856,32854,19108
01110,2010,116619,16119,77805,22553,55394,8174,37356,9783,61225,7945,40449,12770
01110,2015,115726,15459,70761,29260,54624,7913,33832,12773,61102,7546,36929,16487
01202,2020,251084,23560,134953,89257,113965,11984,64971,35342,137119,11576,69982,53915
01202,2010,279127,30474,171405,76637,127046,15775,80853,30077,152081,14699,90552,46560
01202,2015,265979,27131,152154,85931,120376,13912,72223,33839,145603,13219,79931,52092
01203,2020,111299,9169,55643,45426,50136,4678,26790,18009,61163,4491,28853,27417
01203,2010,131928,13105,77215,41607,59514,6611,36495,16407,72414,6494,40720,25200
01203,2015,121924,11171,65317,45240,54985,5661,31183,18020,66939,5510,34134,27220
01204,2020,329306,34691,178060,112411,152108,17797,85575,46768,177198,16894,92485,65643
01204,2010,347095,40260,213269,91937,160094,20544,100065,38591,187001,19716,113204,53346
01204,2015,339605,37173,191423,106444,156402,18938,90649,44410,183203,18235,100774,62034
01205,2020,82383,7769,43398,30330,40390,3916,23259,12565,41993,3853,20139,17765
01205,2010,94535,10484,56279,27699,46074,5295,29187,11536,48461,5189,27092,16163
01205,2015,88564,9185,49005,30118,43143,4647,25831,12457,45421,4538,23174,17661
01206,2020,165077,16634,90595,56355,77506,8495,44886,23465,87571,8139,45709,32890
01206,2010,181169,21772,113635,45737,85474,11045,55146,19262,95695,10727,58489,26475
01206,2015,174742,19400,101909,52867,82185,9829,49888,22161,92557,9571,52021,30706
01207,2020,166536,19073,96804,49000,79623,9762,48097,20616,86913,9311,48707,28384
01207,2010,168057,21472,109040,37544,80584,10985,53468,16130,87473,10487,55572,21414
01207,2015,169327,20566,103890,44636,80994,10589,51271,18963,88333,9977,52619,25673
01208,2020,115480,12014,63217,38841,54729,6170,31713,16230,60751,5844,31504,22611
01208,2010,125689,15283,78202,31872,60171,7813,38700,13424,65518,7470,39502,18448
01208,2015,121226,13570,70781,36437,58020,6897,35523,15291,63206,6673,35258,21146
01209,2020,7334,411,3093,3828,3381,199,1609,1571,3953,212,1484,2257
01209,2010,10922,719,5417,4786,5179,363,2860,1956,5743,356,2557,2830
01209,2015,8843,500,4045,4296,4092,241,2090,1759,4751,259,1955,2537
01210,2020,79306,7859,42391,28880,37105,3961,21004,12062,42201,3898,21387,16818
01210,2010,90145,10253,54834,25032,42111,5251,26401,10441,48034,5002,28433,14591
01210,2015,84499,8983,47848,27503,39319,4597,23127,11509,45180,4386,24721,15994
01211,2020,35759,3731,20405,11259,18060,1932,11042,4818,17699,1799,9363,6441
01211,2010,40998,5061,26578,9324,20981,2656,14269,4030,20017,2405,12309,5294
01211,2015,39077,4571,23698,10691,19819,2358,12794,4578,19258,2213,10904,6113
01212,2020,20114,1711,9981,7425,9649,885,5234,3002,10465,826,4747,4423
01212,2010,24457,2751,14807,6899,11679,1394,7443,2842,12778,1357,7364,4057
01212,2015,22221,2290,12391,7513,10516,1137,6298,3069,11705,1153,6093,4444
01213,2020,170113,20426,96847,50022,83522,10593,49324,21637,86591,9833,47523,28385
01213,2010,173320,23476,113284,36515,84687,11930,57046,15670,88633,11546,56238,20845
01213,2015,172737,22401,105217,44469,84605,11469,53472,19164,88132,10932,51745,25305
01214,2020,33563,3484,18920,11025,16651,1806,10016,4739,16912,1678,8904,6286
01214,2010,39595,4807,25125,9663,19315,2407,12871,4037,20280,2400,12254,5626
01214,2015,36380,4304,21570,10505,17809,2218,11172,4419,18571,2086,10398,6086
01215,2020,20413,1539,10169,8642,9565,813,5143,3575,10848,726,5026,5067
01215,2010,26034,2573,14887,8555,12215,1344,7363,3496,13819,1229,7524,5059
01215,2015,23035,1973,12205,8853,10753,1039,6074,3638,12282,934,6131,5215
01216,2020,12555,845,5705,5995,5762,435,2854,2464,6793,410,2851,3531
01216,2010,16628,1429,8791,6407,7585,724,4188,2672,9043,705,4603,3735
01216,2015,14676,1109,7160,6405,6667,566,3473,2626,8009,543,3687,3779
01217,2020,121056,13400,69555,36783,57523,6786,34012,15876,63533,6614,35543,20907
01217,2010,123722,15041,81565,27008,59320,7566,40092,11583,64402,7475,41473,15425
01217,2015,120636,13524,74253,32585,57391,6868,36364,13970,63245,6656,37889,18615
01218,2020,9698,603,4280,4669,4388,299,2139,1878,5310,304,2141,2791
01218,2010,12637,1072,6655,4909,5745,539,3150,2055,6892,533,3505,2854
01218,2015,11105,835,5306,4964,5025,428,2554,2043,6080,407,2752,2921
01219,2020,21215,1971,11515,7697,9901,992,5782,3104,11314,979,5733,4593
01219,2010,24750,2774,14855,7103,11563,1472,7232,2845,13187,1302,7623,4258
01219,2015,23109,2329,12707,7631,10954,1221,6347,3082,12155,1108,6360,4549
01220,2020,17858,1652,8803,7350,8416,855,4490,3044,9442,797,4313,4306
01220,2010,21787,2584,12069,7134,10205,1331,5873,3001,11582,1253,6196,4133
01220,2015,19914,2066,10384,7451,9382,1066,5195,3112,10532,1000,5189,4339
01221,2020,27282,3018,15232,8747,13322,1561,7893,3682,13960,1457,7339,5065
01221,2010,30591,3767,18597,8227,14669,1897,9325,3447,15922,1870,9272,4780
01221,2015,29048,3453,16755,8794,14072,1763,8565,3716,14976,1690,8190,5078
01222,2020,8040,655,3566,3819,3631,315,1845,1471,4409,340,1721,2348
01222,2010,10221,773,5121,4327,4625,388,2521,1716,5596,385,2600,2611
01222,2015,9076,694,4199,4181,4075,336,2109,1629,5001,358,2090,2552
01223,2020,24636,2396,13370,8648,11762,1217,6832,3550,12874,1179,6538,5098
01223,2010,29201,3565,17899,7732,13883,1838,8890,3150,15318,1727,9009,4582
01223,2015,26917,3033,15533,8285,12862,1570,7830,3413,14055,1463,7703,4872
01224,2020,97950,13012,62066,22690,49790,6681,32906,10088,48160,6331,29160,12602
01224,2010,93604,13883,63261,16293,47836,7192,33291,7214,45768,6691,29970,9079
01224,2015,95648,13573,61908,19979,48588,7011,32634,8851,47060,6562,29274,11128
01225,2020,39490,3995,21161,13821,18832,2104,10702,5682,20658,1891,10459,8139
01225,2010,43170,5132,26067,11912,20314,2724,12536,5008,22856,2408,13531,6904
01225,2015,41192,4456,23001,13353,19475,2327,11284,5615,21717,2129,11717,7738
01226,2020,16486,1388,8138,6404,7607,682,3985,2640,8879,706,4153,3764
01226,2010,19056,2147,10977,5932,8925,1098,5337,2490,10131,1049,5640,3442
01226,2015,17694,1758,9355,6390,8216,871,4573,2670,9478,887,4782,3720
01227,2020,2989,142,1252,1592,1399,80,659,658,1590,62,593,934
01227,2010,4387,337,2242,1808,1955,167,1113,675,2432,170,1129,1133
01227,2015,3585,217,1696,1672,1652,122,864,666,1933,95,832,1006
01228,2020,20039,1634,9802,8544,9362,853,4981,3482,10677,781,4821,5062
01228,2010,23709,2295,13128,8284,10987,1159,6373,3454,12722,1136,6755,4830
01228,2015,21909,1995,11281,8616,10118,997,5551,3564,11791,998,5730,5052
01229,2020,21131,2211,11512,7255,9947,1126,5645,3073,11184,1085,5867,4182
01229,2010,24259,3155,14591,6512,11418,1554,7115,2749,12841,1601,7476,3763
01229,2015,22936,2684,13092,7096,10783,1348,6426,2973,12153,1336,6666,4123
01230,2020,46391,4775,24170,17287,22146,2480,12215,7373,24245,2295,11955,9914
01230,2010,51526,6086,30802,14612,24514,3110,15129,6258,27012,2976,15673,8354
01230,2015,49625,5312,26948,16602,23533,2726,13364,7052,26092,2586,13584,9550
01231,2020,70331,8701,41413,19673,34088,4476,20687,8560,36243,4225,20726,11113
01231,2010,69384,9690,45110,14427,33945,4909,22546,6392,35439,4781,22564,8035
01231,2015,69702,9132,42897,17465,33781,4571,21366,7716,35921,4561,21531,9749
01233,2020,32826,3355,16832,12601,15176,1714,8168,5268,17650,1641,8664,7333
01233,2010,36278,4276,20959,11040,16812,2195,10026,4588,19466,2081,10933,6452
01233,2015,34995,3966,18910,12107,16279,2056,9131,5081,18716,1910,9779,7026
01234,2020,58171,6395,32140,19380,27763,3267,15829,8514,30408,3128,16311,10866
01234,2010,60353,8083,38693,13547,28959,4117,18755,6062,31394,3966,19938,7485
01234,2015,59064,7213,34586,17103,28273,3688,16908,7572,30791,3525,17678,9531
01235,2020,56869,6821,30645,19402,27324,3502,15273,8549,29545,3319,15372,10853
01235,2010,59449,8063,37624,13761,28554,4091,18414,6048,30895,3972,19210,7713
01235,2015,57436,7415,32732,17229,27548,3759,16156,7588,29888,3656,16576,9641
01236,2020,44302,5444,25434,13332,20542,2808,12184,5541,23760,2636,13250,7791
01236,2010,48032,7217,30038,10749,22515,3663,14452,4381,25517,3554,15586,6368
01236,2015,46390,6353,27723,12297,21641,3224,13376,5031,24749,3129,14347,7266
01303,2020,15916,1178,8983,5553,7703,589,4509,2482,8213,589,4474,3071
01303,2010,18766,2158,11931,4594,9078,1066,5979,1979,9688,1092,5952,2615
01303,2015,17278,1547,10453,5210,8314,802,5231,2243,8964,745,5222,2967
01304,2020,3044,300,1591,1142,1484,160,852,467,1560,140,739,675
01304,2010,3515,402,2059,1054,1729,214,1081,434,1786,188,978,620
01304,2015,3329,357,1872,1100,1604,182,980,442,1725,175,892,658
01331,2020,6260,377,2611,3266,2805,187,1272,1343,3455,190,1339,1923
01331,2010,8748,791,4633,3324,4028,393,2288,1347,4720,398,2345,1977
01331,2015,7337,542,3421,3372,3283,280,1644,1357,4054,262,1777,2015
01332,2020,3794,228,1711,1851,1755,103,871,778,2039,125,840,1073
01332,2010,5114,446,2796,1872,2386,219,1397,770,2728,227,1399,1102
01332,2015,4422,331,2238,1853,2047,150,1127,770,2375,181,1111,1083
01333,2020,4167,357,2160,1649,2060,176,1156,727,2107,181,1004,922
01333,2010,5074,636,2936,1502,2461,329,1523,609,2613,307,1413,893
01333,2015,4653,508,2553,1592,2306,262,1376,668,2347,246,1177,924
01334,2020,3832,232,1678,1908,1750,113,831,793,2082,119,847,1115
01334,2010,5341,442,2830,2069,2556,232,1475,849,2785,210,1355,1220
01334,2015,4547,307,2236,2004,2150,147,1192,811,2397,160,1044,1193
01337,2020,27686,3215,14743,9719,12679,1637,6996,4040,15007,1578,7747,5679
01337,2010,28463,3607,16924,7922,12977,1844,7913,3214,15486,1763,9011,4708
01337,2015,28120,3384,15672,9058,12820,1711,7373,3733,15300,1673,8299,5325
01343,2020,3760,342,1901,1517,1779,176,919,684,1981,166,982,833
01343,2010,4767,536,2911,1320,2339,267,1453,619,2428,269,1458,701
01343,2015,4226,423,2285,1518,2053,214,1145,694,2173,209,1140,824
01345,2020,14338,1364,7403,5532,6658,682,3659,2289,7680,682,3744,3243
01345,2010,17859,2185,10462,5212,8347,1149,5097,2101,9512,1036,5365,3111
01345,2015,15946,1795,8625,5526,7324,928,4157,2239,8622,867,4468,3287
01346,2020,15826,1591,8504,5534,7894,831,4600,2311,7932,760,3904,3223
01346,2010,18896,2339,11519,5037,9130,1200,5871,2058,9766,1139,5648,2979
01346,2015,17252,1967,9895,5369,8401,1011,5105,2273,8851,956,4790,3096
01347,2020,5109,415,2507,2088,2448,200,1337,854,2661,215,1170,1234
01347,2010,6386,582,3572,2232,3040,291,1851,898,3346,291,1721,1334
01347,2015,5926,507,3229,2190,2869,241,1735,893,3057,266,1494,1297
01361,2020,7428,589,3950,2846,3569,295,2097,1145,3859,294,1853,1701
01361,2010,9004,1041,5221,2742,4234,536,2640,1058,4770,505,2581,1684
01361,2015,8248,818,4589,2839,3910,430,2357,1121,4338,388,2232,1718
01362,2020,4306,388,2047,1868,1965,197,986,779,2341,191,1061,1089
01362,2010,5428,625,2962,1841,2421,312,1363,746,3007,313,1599,1095
01362,2015,4876,506,2427,1943,2193,256,1153,784,2683,250,1274,1159
01363,2020,3592,339,1713,1540,1717,181,882,654,1875,158,831,886
01363,2010,4409,484,2393,1532,2102,255,1207,640,2307,229,1186,892
01363,2015,4049,440,2050,1556,1918,237,1019,659,2131,203,1031,897
01364,2020,3403,284,1567,1552,1538,142,746,650,1865,142,821,902
01364,2010,4408,495,2397,1516,2029,231,1177,621,2379,264,1220,895
01364,2015,3906,385,1943,1578,1791,190,954,647,2115,195,989,931
01367,2020,2410,163,1250,997,1280,86,774,420,1130,77,476,577
01367,2010,3033,317,1723,993,1524,154,966,404,1509,163,757,589
01367,2015,2690,253,1442,995,1372,137,823,412,1318,116,619,583
01370,2020,5072,468,2515,2089,2446,236,1334,876,2626,232,1181,1213
01370,2010,6186,659,3480,2047,2951,333,1759,859,3235,326,1721,1188
01370,2015,5628,566,2965,2097,2680,278,1531,871,2948,288,1434,1226
01371,2020,7398,587,3323,3482,3466,298,1706,1459,3932,289,1617,2023
01371,2010,9590,1019,4961,3610,4478,532,2435,1511,5112,487,2526,2099
01371,2015,8473,749,4135,3589,3952,402,2094,1456,4521,347,2041,2133
01391,2020,1356,112,680,564,687,58,396,233,669,54,284,331
01391,2010,1781,179,926,676,853,101,490,262,928,78,436,414
01391,2015,1499,118,773,608,734,62,424,248,765,56,349,360
01392,2020,2838,258,1411,1167,1397,139,749,508,1441,119,662,659
01392,2010,3443,336,1892,1215,1656,187,972,497,1787,149,920,718
01392,2015,3137,319,1658,1160,1528,167,887,474,1609,152,771,686
01393,2020,2791,304,1385,1102,1353,163,758,432,1438,141,627,670
01393,2010,3250,398,1699,1153,1534,204,865,465,1716,194,834,688
01393,2015,3082,348,1583,1151,1415,176,812,427,1667,172,771,724
01394,2020,4568,453,2285,1828,2197,229,1180,786,2371,224,1105,1042
01394,2010,5292,641,2905,1746,2539,329,1465,745,2753,312,1440,1001
01394,2015,4843,506,2536,1801,2322,249,1307,766,2521,257,1229,1035
01395,2020,5074,619,2797,1307,2624,339,1484,595,2450,280,1313,712
01395,2010,4823,589,3027,1207,2365,310,1551,504,2458,279,1476,703
01395,2015,4958,652,2893,1322,2512,356,1518,583,2446,296,1375,739
01396,2020,2045,242,1098,705,1035,131,602,302,1010,111,496,403
01396,2010,2189,235,1288,666,1080,117,687,276,1109,118,601,390
01396,2015,2103,239,1165,698,1037,119,633,284,1066,120,532,414
01397,2020,1911,234,1184,493,971,115,638,218,940,119,546,275
01397,2010,2034,261,1252,502,1004,131,655,207,1030,130,597,295
01397,2015,1907,243,1202,462,951,126,629,196,956,117,573,266
01398,2020,2156,177,1044,805,1112,92,560,366,1044,85,484,439
01398,2010,2490,230,1452,808,1276,123,785,368,1214,107,667,440
01398,2015,2294,207,1204,866,1171,109,658,391,1123,98,546,475
01399,2020,2941,297,1446,1114,1420,158,733,483,1521,139,713,631
01399,2010,3811,441,2267,1100,2032,229,1328,473,1779,212,939,627
01399,2015,3187,388,1645,1144,1553,210,853,485,1634,178,792,659
01400,2020,15129,1941,9096,3731,7787,999,4995,1611,7342,942,4101,2120
01400,2010,15568,2181,10045,3342,7792,1097,5291,1404,7776,1084,4754,1938
01400,2015,15018,2125,9097,3708,7538,1055,4832,1580,7480,1070,4265,2128
01401,2020,5772,650,3273,1826,3047,340,1884,800,2725,310,1389,1026
01401,2010,6428,835,3814,1779,3215,416,2061,738,3213,419,1753,1041
01401,2015,6224,721,3670,1824,3243,347,2100,787,2981,374,1570,1037
01402,2020,11648,1106,6157,4364,5500,574,3149,1757,6148,532,3008,2607
01402,2010,14451,1667,8396,4384,6700,849,4079,1768,7751,818,4317,2616
01402,2015,13042,1367,7241,4408,6174,697,3718,1739,6868,670,3523,2669
01403,2020,1569,147,797,625,784,80,461,243,785,67,336,382
01403,2010,1883,256,1016,611,919,139,557,223,964,117,459,388
01403,2015,1771,195,951,625,888,111,555,222,883,84,396,403
01404,2020,870,65,357,448,400,28,195,177,470,37,162,271
01404,2010,1122,100,538,484,503,54,283,166,619,46,255,318
01404,2015,1004,78,468,458,462,34,258,170,542,44,210,288
01405,2020,1831,148,823,859,855,81,427,346,976,67,396,513
01405,2010,2516,218,1285,1013,1180,115,651,414,1336,103,634,599
01405,2015,2115,191,996,926,1004,101,509,394,1111,90,487,532
01406,2020,2745,207,1297,1154,1307,111,659,492,1438,96,638,662
01406,2010,3611,279,2002,1330,1687,141,998,548,1924,138,1004,782
01406,2015,3188,253,1641,1294,1518,132,866,520,1670,121,775,774
01407,2020,3180,344,1554,1282,1526,178,803,545,1654,166,751,737
01407,2010,3800,396,2141,1263,1795,220,1045,530,2005,176,1096,733
01407,2015,3498,351,1847,1300,1625,180,892,553,1873,171,955,747
01408,2020,18000,1667,9020,7260,8342,839,4528,2943,9658,828,4492,4317
01408,2010,21258,2371,12215,6672,9778,1258,5868,2652,11480,1113,6347,4020
01408,2015,19607,1995,10452,7130,9063,1046,5135,2852,10544,949,5317,4278
01409,2020,1165,131,673,361,606,66,384,156,559,65,289,205
01409,2010,1262,170,746,346,641,79,410,152,621,91,336,194
01409,2015,1121,139,618,364,566,63,335,168,555,76,283,196
01423,2020,7319,693,4057,2555,3461,357,1981,1117,3858,336,2076,1438
01423,2010,8778,1025,5679,2074,4192,536,2761,895,4586,489,2918,1179
01423,2015,7927,739,4825,2362,3739,385,2349,1004,4188,354,2476,1358
01424,2020,5120,439,2490,2189,2405,233,1268,902,2715,206,1222,1287
01424,2010,6194,656,3358,2180,2898,352,1673,873,3296,304,1685,1307
01424,2015,5674,516,2945,2212,2659,282,1475,901,3015,234,1470,1311
01425,2020,2841,182,1201,1458,1292,96,613,583,1549,86,588,875
01425,2010,4086,355,1996,1735,1833,171,991,671,2253,184,1005,1064
01425,2015,3479,258,1567,1654,1575,121,793,661,1904,137,774,993
01427,2020,4822,401,2324,2044,2302,219,1202,851,2520,182,1122,1193
01427,2010,5896,621,3269,2006,2807,320,1648,839,3089,301,1621,1167
01427,2015,5314,538,2773,2003,2536,283,1417,836,2778,255,1356,1167
01428,2020,10289,1010,5280,3969,4919,520,2701,1678,5370,490,2579,2291
01428,2010,11691,1338,6877,3476,5584,682,3445,1457,6107,656,3432,2019
01428,2015,11076,1166,6065,3840,5293,595,3100,1595,5783,571,2965,2245
01429,2020,11272,1083,5528,4636,5176,491,2769,1894,6096,592,2759,2742
01429,2010,13340,1484,7481,4366,6210,734,3644,1825,7130,750,3837,2541
01429,2015,12344,1277,6473,4594,5740,622,3204,1914,6604,655,3269,2680
01430,2020,3691,214,2064,1376,2185,113,1439,610,1506,101,625,766
01430,2010,4859,327,3188,1343,2938,166,2199,572,1921,161,989,771
01430,2015,4577,268,2840,1468,2841,144,2028,668,1736,124,812,800
01431,2020,1732,173,781,777,845,83,417,344,887,90,364,433
01431,2010,2206,227,1173,806,1057,128,590,339,1149,99,583,467
01431,2015,1985,197,1019,769,956,105,537,314,1029,92,482,455
01432,2020,6484,719,3099,2666,2976,355,1535,1086,3508,364,1564,1580
01432,2010,7249,858,3936,2455,3325,415,1889,1021,3924,443,2047,1434
01432,2015,6831,755,3443,2631,3096,366,1658,1070,3735,389,1785,1561
01433,2020,2693,217,1207,1269,1290,111,638,541,1403,106,569,728
01433,2010,3462,347,1820,1295,1642,185,909,548,1820,162,911,747
01433,2015,3091,274,1468,1349,1451,145,744,562,1640,129,724,787
01434,2020,2329,229,1093,985,1072,104,544,411,1257,125,549,574
